FSC,DSEC,PTE,IVP,RBU,EMC_Final,label,model
0.35704831502728274,0.99999946,0.64676124,0.06810610751447106,0.9997419,0.18251647461855547,1.0,llama-3.1-8b-instant
0.33419397429877956,1.0,0.6318787,0.04957143539851036,1.0,0.13433309038834343,1.0,qwen/qwen3-32b
0.3561393324878781,1.0,0.76482844,0.08014863891709309,1.0,0.18171582520746207,1.0,meta-llama/llama-4-scout-17b-16e-instruct
0.3820398611576079,1.0,0.6610603,0.06307380972182496,1.0,0.16297964249565644,1.0,llama-3.1-8b-instant
0.33343933179230006,1.0,0.7256716,0.06565492068017083,1.0,0.15574838942296587,1.0,qwen/qwen3-32b
0.361430261111516,1.0,0.7217133,0.07392465215516165,1.0,0.18036348993533952,1.0,meta-llama/llama-4-scout-17b-16e-instruct
0.44943625904600815,0.9999946,0.64168704,0.11120872431564092,0.001691348,0.0004930383007226403,1.0,llama-3.1-8b-instant
0.3113495235602896,1.0,0.57165694,0.03984119920637421,1.0,0.11460624304241712,1.0,qwen/qwen3-32b
0.44894974629318385,1.0,0.94801843,0.28088730502519094,1.0,0.45061534399611375,1.0,meta-llama/llama-4-scout-17b-16e-instruct
0.46316488485121676,1.0,0.65722895,0.08413653472490658,1.0,0.213543265482067,1.0,llama-3.1-8b-instant
0.3848251501024125,0.99999994,0.60322404,0.05705344154484596,1.0,0.15723200570972987,1.0,qwen/qwen3-32b
0.3928957089887218,0.9999999,0.68479973,0.0808274322628219,0.9999938,0.2064199459253453,1.0,meta-llama/llama-4-scout-17b-16e-instruct
